category1,category2,title,url,size
医科診療行為,A基本診療料,初再診料　性年齢別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000139419.xlsx,
医科診療行為,A基本診療料,初再診料　都道府県別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000139427.xlsx,
医科診療行為,A基本診療料,入院基本料　性年齢別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000139429.xlsx,
医科診療行為,A基本診療料,入院基本料　都道府県別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000139431.xlsx,
医科診療行為,A基本診療料,入院基本料等加算　性年齢別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000139432.xlsx,
医科診療行為,A基本診療料,入院基本料等加算　都道府県別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000139433.xlsx,
医科診療行為,A基本診療料,特定入院料　性年齢別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000140352.xlsx,
医科診療行為,A基本診療料,特定入院料　都道府県別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000140353.xlsx,
医科診療行為,B医学管理等,性年齢別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000139437.xlsx,
医科診療行為,B医学管理等,都道府県別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000139438.xlsx,
医科診療行為,C在宅医療,性年齢別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000140354.xlsx,
医科診療行為,C在宅医療,都道府県別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000140355.xlsx,
医科診療行為,D検査,性年齢別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000140356.xlsx,
医科診療行為,D検査,都道府県別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000171424.xlsx,
医科診療行為,E画像診断,性年齢別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000139443.xlsx,
医科診療行為,E画像診断,都道府県別算定回数,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000139444.xlsx,
